step,avg_rho,avg_links_len,avg_prepositional_chain_len,avg_subordinate_chain_len,avg_token_per_clause,avg_verb_edges,char_per_tok,dep_dist_acl,dep_dist_acl:relcl,dep_dist_advcl,dep_dist_advmod,dep_dist_amod,dep_dist_case,dep_dist_conj,dep_dist_cop,dep_dist_flat:name,dep_dist_mark,dep_dist_nmod,dep_dist_nsubj,dep_dist_nummod,dep_dist_obj,dep_dist_obl,lexical_density,max_links_len,n_prepositional_chains,n_tokens,obj_post,principal_proposition_dist,subj_post,subj_pre,subordinate_post,subordinate_proposition_dist,upos_dist_ADJ,upos_dist_ADP,upos_dist_ADV,upos_dist_CCONJ,upos_dist_DET,upos_dist_NOUN,upos_dist_NUM,upos_dist_PRON,upos_dist_PROPN,upos_dist_PUNCT,upos_dist_SCONJ,upos_dist_VERB,verb_edges_dist_1,verb_edges_dist_2,verb_edges_dist_3,verb_edges_dist_4,verbs_mood+tense_dist_Ind_PassPross,verbs_mood+tense_dist_Ind_Pres,verbs_mood+tense_dist_Inf_Pres,verbs_mood+tense_dist_Part_Past,verbs_mood_dist_Ind,verbs_mood_dist_Inf,verbs_mood_dist_Part,verbs_num_pers_dist_Plur+3,verbs_num_pers_dist_Sing+3,verbs_tense_dist_PassPross,verbs_tense_dist_Past,verbs_tense_dist_Pres,verbs_voice_dist_Active,verbs_voice_dist_Passive,xpos_dist_FB,xpos_dist_FF,xpos_dist_VA
48000,0.6858,0.8446,0.7743,0.8121,0.7488,0.6578,0.7406,0.4699,0.6158,0.527,0.6875,0.6966,0.8871,0.7744,0.548,0.5318,0.6749,0.7907,0.7286,0.5507,0.6977,0.6718,0.7223,0.8314,0.8152,0.9301,0.7202,0.7684,0.6019,0.7531,0.7176,0.8242,0.6662,0.891,0.6917,0.7507,0.8501,0.8116,0.6376,0.7198,0.7846,0.8412,0.5479,0.8305,0.3347,0.3722,0.3347,0.3456,0.6011,0.7498,0.7469,0.4671,0.7637,0.7589,0.4817,0.7643,0.813,0.6097,0.4596,0.749,0.6434,0.5883,0.6045,0.8184,0.7478
52000,0.689,0.8513,0.7771,0.8089,0.7629,0.6608,0.7509,0.4491,0.6204,0.5355,0.6887,0.696,0.8889,0.7734,0.5523,0.5337,0.6753,0.7919,0.7229,0.54,0.6903,0.6714,0.7216,0.839,0.8229,0.9325,0.719,0.7741,0.6077,0.7568,0.7128,0.8218,0.6764,0.8918,0.692,0.7488,0.8482,0.8212,0.6298,0.7151,0.7865,0.8521,0.5488,0.8344,0.345,0.3965,0.3437,0.3605,0.6127,0.7565,0.7478,0.4665,0.7676,0.7584,0.4803,0.7629,0.811,0.6194,0.4643,0.756,0.6509,0.5921,0.6153,0.8232,0.7707
56000,0.6893,0.849,0.7811,0.8099,0.7659,0.6679,0.7468,0.4559,0.6173,0.536,0.6909,0.6953,0.8898,0.7826,0.5522,0.5367,0.6732,0.7953,0.7335,0.5387,0.6999,0.6814,0.7237,0.8356,0.8199,0.9309,0.7198,0.7744,0.6173,0.7584,0.7153,0.8209,0.6693,0.8912,0.688,0.7525,0.8536,0.8259,0.6244,0.7258,0.7858,0.8436,0.5524,0.8361,0.3578,0.3932,0.3167,0.3443,0.6211,0.7608,0.7435,0.4666,0.7684,0.7547,0.4814,0.7639,0.8099,0.6283,0.461,0.7582,0.6525,0.5953,0.6059,0.8134,0.753
60000,0.691,0.8505,0.7862,0.8101,0.7636,0.671,0.7479,0.4542,0.6161,0.5381,0.6951,0.7072,0.8958,0.7854,0.5474,0.5304,0.6794,0.7999,0.7399,0.5402,0.7007,0.6736,0.7361,0.8334,0.8292,0.9327,0.7322,0.7698,0.6161,0.7573,0.7098,0.8147,0.6867,0.8993,0.6847,0.76,0.8565,0.8215,0.6324,0.7324,0.789,0.8535,0.5507,0.8311,0.3369,0.3838,0.3245,0.349,0.6264,0.7557,0.7429,0.4683,0.7728,0.7531,0.4831,0.7644,0.8102,0.6342,0.4661,0.7611,0.6508,0.5953,0.603,0.823,0.7583
64000,0.6877,0.8514,0.7767,0.8158,0.7691,0.6694,0.7456,0.4424,0.6088,0.5355,0.6841,0.6974,0.8868,0.7786,0.5521,0.5291,0.6744,0.7879,0.7388,0.5341,0.697,0.6631,0.7206,0.8329,0.8254,0.9354,0.7238,0.7767,0.6083,0.7544,0.7146,0.8217,0.6802,0.8866,0.6804,0.7589,0.8461,0.8178,0.6284,0.7271,0.7854,0.8481,0.5509,0.8296,0.3278,0.3845,0.3126,0.3615,0.6264,0.7602,0.7438,0.4624,0.7714,0.753,0.4741,0.7592,0.8122,0.6331,0.4616,0.7626,0.6429,0.5898,0.603,0.8221,0.7583
68000,0.6864,0.8489,0.7791,0.8104,0.76,0.6696,0.7436,0.4463,0.6055,0.5409,0.679,0.7052,0.884,0.7772,0.548,0.5274,0.6786,0.7969,0.7347,0.542,0.6995,0.6589,0.7187,0.8369,0.8241,0.9342,0.725,0.7664,0.6038,0.7539,0.7105,0.8138,0.6913,0.8844,0.6752,0.7459,0.8439,0.8173,0.6226,0.7246,0.7845,0.8391,0.553,0.8289,0.3174,0.3876,0.3434,0.3666,0.6271,0.765,0.7391,0.4537,0.7679,0.7496,0.4661,0.7606,0.8083,0.6338,0.4497,0.7618,0.6539,0.5885,0.5998,0.8045,0.752
72000,0.687,0.8504,0.7792,0.8092,0.7612,0.676,0.7448,0.4446,0.6057,0.5389,0.6909,0.699,0.8875,0.7751,0.544,0.5241,0.6813,0.7864,0.7438,0.5421,0.6986,0.6554,0.7232,0.8389,0.8249,0.9354,0.7218,0.7699,0.6126,0.7542,0.7099,0.8148,0.6755,0.8903,0.684,0.7481,0.8458,0.8179,0.6251,0.715,0.7898,0.8416,0.5614,0.8279,0.3236,0.387,0.3197,0.3677,0.624,0.7682,0.7379,0.461,0.7677,0.7481,0.4711,0.7658,0.816,0.6297,0.4503,0.7627,0.6529,0.5859,0.6005,0.8077,0.7537
76000,0.6864,0.8443,0.7814,0.8097,0.7596,0.6735,0.7467,0.4471,0.6065,0.5371,0.6686,0.6983,0.8874,0.7777,0.56,0.5191,0.6783,0.7934,0.7341,0.5319,0.7,0.6511,0.7129,0.8339,0.8229,0.9316,0.7182,0.7616,0.6054,0.7622,0.7147,0.8151,0.6837,0.8885,0.6624,0.7555,0.8467,0.8156,0.6289,0.7147,0.7896,0.8429,0.5668,0.8291,0.3235,0.3819,0.3231,0.3579,0.6324,0.7659,0.7395,0.4667,0.766,0.7508,0.4772,0.7633,0.8177,0.638,0.4586,0.7588,0.6481,0.5842,0.5899,0.8075,0.7688
80000,0.6875,0.8478,0.7799,0.8066,0.7629,0.6827,0.7469,0.437,0.6102,0.5355,0.6747,0.6987,0.8835,0.7744,0.5586,0.5233,0.6844,0.7874,0.7363,0.54,0.6955,0.6608,0.7156,0.8293,0.8235,0.9319,0.7164,0.7653,0.6136,0.7595,0.7108,0.8128,0.6839,0.8853,0.6706,0.7481,0.8458,0.8165,0.6225,0.7154,0.792,0.8412,0.5705,0.8317,0.3345,0.3973,0.3193,0.3673,0.6334,0.7706,0.7378,0.4737,0.7691,0.7507,0.4844,0.7582,0.813,0.6382,0.46,0.7615,0.643,0.5891,0.5941,0.8058,0.768
84000,0.6852,0.8496,0.7765,0.8049,0.7663,0.6727,0.7494,0.4339,0.6067,0.5393,0.667,0.6966,0.8802,0.7786,0.5473,0.5258,0.682,0.7892,0.7356,0.5325,0.699,0.6654,0.7082,0.8321,0.8209,0.932,0.7191,0.7614,0.6117,0.7534,0.7046,0.8105,0.6756,0.8821,0.6565,0.7495,0.852,0.8143,0.6245,0.7109,0.788,0.8458,0.5661,0.8243,0.3339,0.3985,0.315,0.3488,0.6302,0.7696,0.7426,0.4643,0.7644,0.753,0.4736,0.7608,0.813,0.6352,0.4473,0.7668,0.6461,0.5875,0.5978,0.8097,0.7509
